1183810:
 num     #instances         #bytes  class name (module)
  74:         12620         302880  com.mojang.datafixers.types.templates.Sum (datafixerupper@6.0.8)
  75:         12496         299904  com.mojang.datafixers.types.templates.List$ListType (datafixerupper@6.0.8)
  76:          7449         297960  java.util.EnumMap (java.base@17.0.15)
  77:         18567         297072  java.util.HashMap$EntrySet (java.base@17.0.15)
  78:          7396         295840  java.lang.ref.SoftReference (java.base@17.0.15)
  79:         10323         292520  [Ljava.lang.Class; (java.base@17.0.15)
  80:         12124         290976  com.mojang.datafixers.types.templates.Product (datafixerupper@6.0.8)
  81:         12043         289032  com.mojang.datafixers.types.templates.Tag (datafixerupper@6.0.8)
  82:          8972         287104  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
  83:          8904         284928  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
  84:         11044         271544  [Ljava.lang.String; (java.base@17.0.15)
  85:         16144         258304  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  86:         15744         251904  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5642/0x0000000800e20dc8 (minecraft@1.20.1)
  87:         10344         248256  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
  88:          6102         244080  net.minecraft.client.resources.sounds.Sound (minecraft@1.20.1)
  89:         14336         229376  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  90:         14229         227664  java.lang.Object (java.base@17.0.15)
  91:          9108         218592  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
  92:          8943         214632  java.util.BitSet (java.base@17.0.15)
  93:          6589         210848  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
  94:          3694         206864  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  95:          8612         206688  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
  96:          8227         197448  com.mojang.serialization.Dynamic (datafixerupper@6.0.8)
  97:          6081         194592  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  98:         11930         190880  java.util.HashSet (java.base@17.0.15)
  99:          4756         190240  java.util.TreeMap$Entry (java.base@17.0.15)
 100:          5879         188128  java.lang.invoke.LambdaForm$Name (java.base@17.0.15)
 101:          5708         182656  net.minecraftforge.forgespi.language.ModFileScanData$AnnotationData (net.minecraftforge.forgespi@7.0.1)
 102:         11396         182336  net.minecraft.client.gui.font.providers.UnihexProvider$ByteContents (minecraft@1.20.1)
 103:          5327         170464  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 104:          5327         170464  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 105:          5251         168032  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 106:         10452         167232  com.mojang.datafixers.types.templates.RecursivePoint (datafixerupper@6.0.8)
 107:          4964         158848  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 108:          1231         157568  jdk.nio.zipfs.ZipFileSystem (jdk.zipfs@17.0.15)
 109:          3889         155560  net.minecraft.server.packs.linkfs.LinkFSPath (minecraft@1.20.1)
 110:          3786         151440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
 111:          4716         150912  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 112:          9430         150880  java.util.HashMap$KeySet (java.base@17.0.15)
 113:          9318         149088  com.google.gson.JsonObject (com.google.gson@2.10)
 114:          3694         147760  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 115:          9063         145008  com.mojang.datafixers.types.templates.List (datafixerupper@6.0.8)
